fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,car,0.8843560814857483,1,106,822,404,1059,matricula,0.5132236480712891,376,944,404,982,
1,car,0.8449839949607849,2,206,792,624,990,,,,,,,
1,car,0.7815427184104919,3,1150,722,1502,887,,,,,,,
1,car,0.6723484992980957,4,793,736,923,777,,,,,,,
1,car,0.6596935391426086,5,391,769,687,899,,,,,,,
1,car,0.6474758386611938,6,959,731,1092,788,,,,,,,
1,car,0.5719491839408875,7,1067,738,1275,817,,,,,,,
1,car,0.5077000856399536,8,592,762,749,869,,,,,,,
1,car,0.4793894588947296,9,604,764,802,846,,,,,,,
2,car,0.8784103393554688,1,105,821,403,1059,matricula,0.5862312912940979,376,944,403,982,
2,car,0.8630437850952148,2,206,789,625,990,,,,,,,
2,car,0.7983928322792053,3,1150,722,1502,887,,,,,,,
2,car,0.684225857257843,4,792,735,918,778,,,,,,,
2,car,0.6465353965759277,5,393,768,688,898,,,,,,,
2,car,0.6694064140319824,6,958,731,1090,787,,,,,,,
2,car,0.5788136720657349,7,1066,738,1275,817,,,,,,,
2,car,0.5053685307502747,8,592,763,748,870,,,,,,,
2,car,0.47892582416534424,9,607,765,800,846,,,,,,,
3,car,0.8780595064163208,1,104,820,402,1057,matricula,0.6282855868339539,376,941,402,981,
3,car,0.8829240202903748,2,206,787,625,990,,,,,,,
3,car,0.7993002533912659,3,1150,722,1502,887,,,,,,,
3,car,0.6720314025878906,4,791,735,918,777,,,,,,,
3,car,0.6480964422225952,5,405,767,687,898,,,,,,,
3,car,0.6789126396179199,6,957,731,1088,787,,,,,,,
3,car,0.6236875653266907,7,1064,738,1259,815,,,,,,,
3,car,0.5543037056922913,8,590,761,749,872,,,,,,,
3,car,0.4202454388141632,9,606,764,800,845,,,,,,,
4,car,0.8795362114906311,1,103,819,402,1057,matricula,0.632757306098938,375,940,402,980,
4,car,0.9088816046714783,2,206,785,624,989,,,,,,,
4,car,0.7983248829841614,3,1150,722,1501,886,,,,,,,
4,car,0.6670348048210144,4,792,734,915,777,,,,,,,
4,car,0.6829007267951965,5,412,767,685,897,,,,,,,
4,car,0.6868768930435181,6,959,730,1087,786,,,,,,,
4,car,0.5966055393218994,7,1065,738,1254,816,,,,,,,
4,car,0.4992024600505829,8,585,760,751,872,,,,,,,
5,car,0.8881727457046509,1,104,818,402,1056,,,,,,,
5,car,0.9033628106117249,2,206,785,623,989,,,,,,,
5,car,0.812713623046875,3,1150,722,1501,885,,,,,,,
5,car,0.6317877769470215,4,793,733,918,777,,,,,,,
5,car,0.6737440824508667,5,405,767,684,898,,,,,,,
5,car,0.6665633916854858,6,960,729,1090,786,,,,,,,
5,car,0.6397892236709595,7,1066,737,1256,816,,,,,,,
5,car,0.5174451470375061,8,582,759,752,873,,,,,,,
6,car,0.8829457759857178,1,104,817,401,1056,matricula,0.5885083675384521,374,939,401,979,
6,car,0.895534336566925,2,205,785,622,989,,,,,,,
6,car,0.7937150597572327,3,1150,721,1500,885,,,,,,,
6,car,0.6221473217010498,4,792,732,921,777,,,,,,,
6,car,0.6846228241920471,5,403,767,683,899,,,,,,,
6,car,0.6458103656768799,6,958,729,1092,785,,,,,,,
6,car,0.6031132936477661,7,1065,737,1255,816,,,,,,,
6,car,0.5217552781105042,8,579,759,752,874,,,,,,,
7,car,0.8848181962966919,1,104,817,400,1055,matricula,0.6097651720046997,374,939,400,978,
7,car,0.8986473679542542,2,205,785,622,988,,,,,,,
7,car,0.7896247506141663,3,1149,721,1499,885,,,,,,,
7,car,0.5937749147415161,4,791,732,923,777,,,,,,,
