fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,bus,0.9357240796089172,1,1402,52,1918,476,,,,,,,
1,car,0.8438277244567871,2,1321,312,1398,371,,,,,,,
1,car,0.4911515414714813,3,1231,313,1279,343,,,,,,,
2,bus,0.9328942894935608,1,1402,56,1918,471,,,,,,,
2,car,0.8148319125175476,2,1321,312,1397,371,,,,,,,
2,car,0.47794631123542786,3,1231,313,1279,342,,,,,,,
3,bus,0.9363406896591187,1,1395,63,1918,467,,,,,,,
3,car,0.8184859156608582,2,1320,312,1395,371,,,,,,,
3,car,0.44405239820480347,3,1230,313,1278,342,,,,,,,
4,bus,0.899508535861969,1,1389,67,1918,466,,,,,,,
4,car,0.8380137085914612,2,1318,312,1395,371,,,,,,,
4,car,0.4859510660171509,3,1230,314,1278,342,,,,,,,
5,bus,0.9297316670417786,1,1390,72,1918,464,,,,,,,
5,car,0.816746175289154,2,1316,312,1394,371,,,,,,,
5,car,0.45237383246421814,3,1232,314,1279,343,,,,,,,
6,bus,0.9345744252204895,1,1392,76,1918,462,,,,,,,
6,car,0.8074605464935303,2,1316,312,1392,370,,,,,,,
6,car,0.4080609381198883,3,1232,313,1278,342,,,,,,,
7,bus,0.9344170689582825,1,1391,79,1918,461,,,,,,,
7,car,0.7958816289901733,2,1316,312,1390,370,,,,,,,
7,car,0.45234715938568115,3,1232,314,1277,343,,,,,,,
8,bus,0.9351821541786194,1,1388,84,1918,458,,,,,,,
8,car,0.7872523069381714,2,1314,312,1389,369,,,,,,,
8,car,0.43596670031547546,3,1230,314,1275,343,,,,,,,
9,bus,0.9371792674064636,1,1386,88,1918,457,,,,,,,
9,car,0.7815163135528564,2,1313,312,1387,368,,,,,,,
9,car,0.424361914396286,3,1229,315,1274,343,,,,,,,
10,bus,0.94050532579422,1,1383,92,1918,457,,,,,,,
10,car,0.8050702214241028,2,1311,312,1386,368,,,,,,,
10,car,0.4193544089794159,3,1229,315,1272,343,,,,,,,
11,bus,0.9372484683990479,1,1382,96,1918,456,,,,,,,
11,car,0.8014797568321228,2,1310,312,1385,367,,,,,,,
11,car,0.4036637246608734,3,1228,315,1270,343,,,,,,,
12,bus,0.9273744225502014,1,1382,97,1918,455,,,,,,,
12,car,0.7826128602027893,2,1309,312,1384,368,,,,,,,
12,car,0.4092802405357361,3,1228,315,1269,343,,,,,,,
13,bus,0.9316000938415527,1,1382,101,1915,453,,,,,,,
13,car,0.7879989147186279,2,1309,312,1382,368,,,,,,,
14,bus,0.9279440641403198,1,1381,104,1903,451,,,,,,,
14,car,0.7940629720687866,2,1309,312,1380,368,,,,,,,
15,bus,0.9187954664230347,1,1380,107,1889,451,,,,,,,
15,car,0.7781744003295898,2,1309,312,1378,368,,,,,,,
16,bus,0.9248064756393433,1,1378,111,1872,450,,,,,,,
16,car,0.7746443152427673,2,1308,312,1375,367,,,,,,,
17,bus,0.9198166131973267,1,1376,114,1866,449,,,,,,,
17,car,0.7818206548690796,2,1308,313,1374,367,,,,,,,
18,bus,0.9090569019317627,1,1376,117,1858,450,,,,,,,
18,car,0.7767423987388611,2,1308,313,1373,366,,,,,,,
19,bus,0.9154194593429565,1,1375,121,1840,448,,,,,,,
19,car,0.76970374584198,2,1308,313,1372,367,,,,,,,
20,bus,0.9250550270080566,1,1374,125,1826,446,,,,,,,
20,car,0.7844308614730835,2,1308,314,1370,367,,,,,,,
