epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.91732,0,24.2113,0,0,0,0,0,3.01168,21.9308,2.61479,4e-05,4e-05,4e-05
2,14.9072,0,24.0674,0,0,0,0,0,3.27581,25.1473,2.75183,9.505e-05,9.505e-05,9.505e-05
3,21.3097,0.5403,16.3735,0.56202,0,0,0,0,3.43468,25.9242,2.84167,0.00014416,0.00014416,0.00014416
4,27.907,0.87346,7.35297,0.94555,0,0,0,0,3.52064,27.5735,2.95812,0.00018733,0.00018733,0.00018733
5,34.36,0,23.4594,0,0,0,0,0,3.4474,27.6765,3.19553,0.00022456,0.00022456,0.00022456
6,40.8711,0.83872,7.44361,0.74074,0,0,0,0,3.1768,20.0588,1.95382,0.00025585,0.00025585,0.00025585
7,47.327,0.39123,22.1827,0.35489,0.00042,1,0.00049,0.00015,2.82998,16.9039,1.7523,0.0002812,0.0002812,0.0002812
8,53.8835,0.41864,15.5268,0.34193,0.00042,1,0.00186,0.0004,2.36178,15.9994,1.55893,0.00030061,0.00030061,0.00030061
9,60.6742,1.32254,11.0811,0.74884,0.00042,1,0.00186,0.0004,2.36178,15.9994,1.55893,0.00031408,0.00031408,0.00031408
10,67.3085,0.4657,15.7724,0.27368,0.00042,1,0.00227,0.00068,2.35158,18.3855,1.4585,0.00032161,0.00032161,0.00032161
11,73.6306,0.57672,15.3283,0.29763,0.00042,1,0.00227,0.00068,2.35158,18.3855,1.4585,0.0003232,0.0003232,0.0003232
12,80.0988,0.44423,15.6796,0.27966,0.00042,1,0.00226,0.0009,2.26115,16.1309,1.62098,0.00031885,0.00031885,0.00031885
13,86.3509,0.26555,14.9968,0.31937,0.00042,1,0.00226,0.0009,2.26115,16.1309,1.62098,0.00030856,0.00030856,0.00030856
14,92.728,0.69049,15.6947,0.32839,0.00042,1,0.01877,0.00939,1.94038,18.3335,1.44851,0.00029233,0.00029233,0.00029233
15,99.0137,0.49568,21.5963,0.3518,0.00042,1,0.01877,0.00939,1.94038,18.3335,1.44851,0.00027016,0.00027016,0.00027016
16,105.27,0.42271,21.3097,0.35544,0.00042,1,0.01877,0.00939,1.94038,18.3335,1.44851,0.00024205,0.00024205,0.00024205
17,112.036,0.41309,15.2396,0.2811,0.00042,1,0.03317,0.01327,1.85375,15.3193,1.46844,0.000208,0.000208,0.000208
18,118.426,0.65953,16.5499,0.32602,0.00042,1,0.03317,0.01327,1.85375,15.3193,1.46844,0.00016801,0.00016801,0.00016801
19,124.777,0.54391,15.322,0.39161,0.00042,1,0.03317,0.01327,1.85375,15.3193,1.46844,0.00012208,0.00012208,0.00012208
20,131.178,0.45454,15.33,0.37036,0.00042,1,0.05853,0.02341,1.7448,13.7928,1.44848,7.021e-05,7.021e-05,7.021e-05
